"success"	"type"	"parameters"
0	"algorithm1"	12720
0	"algorithm1"	10995
0	"algorithm1"	15210
1	"algorithm1"	11448
0	"algorithm1"	16530
1	"algorithm1"	17937
0	"algorithm1"	15828
1	"algorithm1"	12921
0	"algorithm1"	16781
0	"algorithm1"	16541
1	"algorithm1"	18687
0	"algorithm1"	10925
0	"algorithm1"	14218
0	"algorithm1"	12312
0	"algorithm1"	13367
0	"algorithm1"	13260
0	"algorithm1"	10990
1	"algorithm1"	18171
0	"algorithm1"	12433
1	"algorithm1"	12055
1	"algorithm1"	12884
0	"algorithm1"	11379
0	"algorithm1"	11089
1	"algorithm1"	19535
1	"algorithm1"	16680
1	"algorithm1"	15438
1	"algorithm1"	18530
0	"algorithm1"	11122
0	"algorithm1"	14365
1	"algorithm1"	12263
1	"algorithm1"	19294
0	"algorithm1"	17596
0	"algorithm1"	10102
0	"algorithm1"	16999
0	"algorithm1"	14071
0	"algorithm1"	12311
1	"algorithm1"	18546
0	"algorithm1"	18243
0	"algorithm1"	18909
0	"algorithm1"	14964
0	"algorithm1"	13081
1	"algorithm1"	19441
0	"algorithm1"	12848
0	"algorithm1"	14925
0	"algorithm1"	11763
0	"algorithm1"	17735
1	"algorithm1"	16584
0	"algorithm1"	13213
0	"algorithm1"	14830
0	"algorithm1"	14895
0	"algorithm1"	10422
1	"algorithm1"	18960
0	"algorithm1"	10506
0	"algorithm1"	12837
0	"algorithm1"	14599
0	"algorithm1"	11771
0	"algorithm1"	15771
1	"algorithm1"	17739
0	"algorithm1"	10203
0	"algorithm1"	14880
0	"algorithm1"	16626
0	"algorithm1"	12389
0	"algorithm1"	14801
1	"algorithm1"	10866
1	"algorithm1"	17592
0	"algorithm1"	19954
0	"algorithm1"	12714
0	"algorithm1"	17973
0	"algorithm1"	15447
0	"algorithm1"	13269
1	"algorithm1"	18628
1	"algorithm1"	12940
0	"algorithm1"	11710
0	"algorithm1"	12239
1	"algorithm1"	17860
0	"algorithm1"	12268
0	"algorithm1"	11721
0	"algorithm1"	14603
0	"algorithm1"	15377
0	"algorithm1"	19535
1	"algorithm1"	15670
0	"algorithm1"	10822
0	"algorithm1"	11324
0	"algorithm1"	12084
0	"algorithm1"	13169
0	"algorithm1"	14550
0	"algorithm1"	13981
0	"algorithm1"	19527
0	"algorithm1"	11014
1	"algorithm1"	16372
0	"algorithm1"	11440
0	"algorithm1"	16333
1	"algorithm1"	15247
1	"algorithm1"	16233
0	"algorithm1"	14840
0	"algorithm1"	10178
1	"algorithm1"	16360
0	"algorithm1"	14509
1	"algorithm1"	14008
0	"algorithm1"	14620
1	"algorithm2"	18556
1	"algorithm2"	22676
1	"algorithm2"	23014
0	"algorithm2"	19652
0	"algorithm2"	17301
0	"algorithm2"	21764
1	"algorithm2"	17686
1	"algorithm2"	24847
1	"algorithm2"	19099
0	"algorithm2"	21972
0	"algorithm2"	15307
1	"algorithm2"	16459
1	"algorithm2"	18043
0	"algorithm2"	16855
0	"algorithm2"	17683
1	"algorithm2"	16298
0	"algorithm2"	16911
1	"algorithm2"	24764
0	"algorithm2"	17860
1	"algorithm2"	18107
1	"algorithm2"	15300
1	"algorithm2"	24776
1	"algorithm2"	21948
1	"algorithm2"	15530
0	"algorithm2"	16168
1	"algorithm2"	23397
0	"algorithm2"	18658
1	"algorithm2"	24436
1	"algorithm2"	23211
0	"algorithm2"	24747
0	"algorithm2"	17784
0	"algorithm2"	16535
1	"algorithm2"	16550
1	"algorithm2"	18151
1	"algorithm2"	15706
0	"algorithm2"	19382
1	"algorithm2"	24641
1	"algorithm2"	24771
1	"algorithm2"	21220
1	"algorithm2"	17584
0	"algorithm2"	15753
1	"algorithm2"	23291
0	"algorithm2"	18079
1	"algorithm2"	20732
0	"algorithm2"	20960
0	"algorithm2"	24100
1	"algorithm2"	22171
0	"algorithm2"	15196
1	"algorithm2"	23957
0	"algorithm2"	19293
1	"algorithm2"	19012
1	"algorithm2"	23073
0	"algorithm2"	15421
1	"algorithm2"	21569
1	"algorithm2"	23334
0	"algorithm2"	15308
0	"algorithm2"	18114
1	"algorithm2"	20108
1	"algorithm2"	24667
0	"algorithm2"	18754
1	"algorithm2"	19597
1	"algorithm2"	24368
1	"algorithm2"	19595
1	"algorithm2"	20427
1	"algorithm2"	20205
0	"algorithm2"	15330
1	"algorithm2"	18719
0	"algorithm2"	20791
1	"algorithm2"	19056
1	"algorithm2"	15637
1	"algorithm2"	16201
0	"algorithm2"	15919
1	"algorithm2"	23731
1	"algorithm2"	22217
0	"algorithm2"	18104
0	"algorithm2"	15777
0	"algorithm2"	15496
1	"algorithm2"	24220
0	"algorithm2"	22026
1	"algorithm2"	22225
0	"algorithm2"	17178
0	"algorithm2"	15906
0	"algorithm2"	20510
1	"algorithm2"	24162
1	"algorithm2"	22701
1	"algorithm2"	21895
1	"algorithm2"	20588
1	"algorithm2"	15872
0	"algorithm2"	18663
0	"algorithm2"	17944
1	"algorithm2"	24476
0	"algorithm2"	20678
1	"algorithm2"	15462
1	"algorithm2"	18311
1	"algorithm2"	19333
0	"algorithm2"	20860
0	"algorithm2"	16392
1	"algorithm2"	23487
1	"algorithm2"	22746
1	"algorithm2"	19458
