"crystal"	"frequency"
"x1"	536868985
"x1"	536873388
"x1"	536881909
"x1"	536871239
"x1"	536867466
"x1"	536871345
"x1"	536877109
"x1"	536870799
"x1"	536870896
"x1"	536872751
"x1"	536870264
"x1"	536865321
"x1"	536870379
"x1"	536871214
"x1"	536872326
"x1"	536874751
"x1"	536870947
"x1"	536870060
"x1"	536870903
"x1"	536871299
"x1"	536869661
"x1"	536871255
"x1"	536865540
"x1"	536870012
"x1"	536868838
"x1"	536870610
"x1"	536864367
"x1"	536870448
"x1"	536871706
"x1"	536872119
"x1"	536870274
"x1"	536871451
"x1"	536870622
"x1"	536870865
"x1"	536870820
"x1"	536869973
"x1"	536861250
"x1"	536868157
"x1"	536871714
"x1"	536870986
"x1"	536872284
"x1"	536869949
"x1"	536870080
"x1"	536871423
"x1"	536869918
"x1"	536870380
"x1"	536974005
"x1"	536870619
"x1"	536868341
"x1"	536877210
"x1"	536869746
"x1"	536876430
"x1"	536871800
"x1"	536871282
"x1"	536854517
"x1"	536871906
"x1"	536868846
"x1"	536871697
"x1"	536870379
"x1"	536872019
"x1"	536873764
"x1"	536872018
"x1"	536870728
"x1"	536866683
"x1"	536868779
"x1"	536870124
"x1"	536870921
"x1"	536869867
"x1"	536887217
"x1"	536869934
"x1"	536869540
"x1"	536871253
"x1"	536862271
"x1"	536887806
"x1"	536871529
"x1"	536872660
"x1"	536872974
"x1"	536870600
"x1"	536871395
"x1"	536869427
"x1"	536873359
"x1"	536871152
"x1"	536869236
"x1"	536870206
"x1"	536872355
"x1"	536871271
"x1"	536872655
"x1"	536871523
"x1"	536871389
"x1"	536876384
"x1"	536869667
"x1"	536871290
"x1"	536870613
"x1"	536871853
"x1"	536870598
"x1"	536869987
"x1"	536873263
"x1"	536879011
"x1"	536866678
"x1"	536869632
"x2"	536866683
"x2"	536869800
"x2"	536865967
"x2"	536871681
"x2"	536873161
"x2"	536871016
"x2"	536872213
"x2"	536871250
"x2"	536871312
"x2"	536859385
"x2"	536870799
"x2"	536871107
"x2"	536871075
"x2"	536871620
"x2"	536875090
"x2"	536870367
"x2"	536871018
"x2"	536870788
"x2"	536872542
"x2"	536871090
"x2"	536870506
"x2"	536869348
"x2"	536869760
"x2"	536868325
"x2"	536870512
"x2"	536871851
"x2"	537309894
"x2"	536871807
"x2"	536874069
"x2"	536870717
"x2"	536870082
"x2"	536870510
"x2"	536869162
"x2"	535986508
"x2"	536867429
"x2"	536871229
"x2"	536870412
"x2"	536866767
"x2"	536869947
"x2"	536870459
"x2"	536882765
"x2"	536873200
"x2"	536815951
"x2"	536871440
"x2"	536870565
"x2"	536873548
"x2"	536870187
"x2"	536870948
"x2"	536867982
"x2"	536880565
"x2"	536871623
"x2"	536870421
"x2"	536870143
"x2"	536875789
"x2"	536871213
"x2"	536870321
"x2"	536870234
"x2"	536872665
"x2"	536867130
"x2"	536871376
"x2"	536867750
"x2"	536871212
"x2"	536871808
"x2"	536868277
"x2"	536867062
"x2"	536867506
"x2"	536871557
"x2"	536877587
"x2"	536871925
"x2"	536870584
"x2"	536871935
"x2"	536881907
"x2"	536871211
"x2"	536873650
"x2"	536870329
"x2"	536868866
"x2"	536868837
"x2"	536870901
"x2"	536870374
"x2"	536871029
"x2"	536870869
"x2"	536872111
"x2"	536870411
"x2"	536865103
"x2"	536867533
"x2"	536872104
"x2"	536869361
"x2"	536870627
"x2"	536869723
"x2"	536872327
"x2"	536868612
"x2"	536863839
"x2"	536870442
"x2"	536870148
"x2"	536870673
"x2"	536871241
"x2"	536871342
"x2"	536870883
"x2"	536869988
"x2"	536873495
