"group"	"grade"
"control"	15.4
"control"	15.8
"control"	17.2
"control"	16
"control"	15.4
"control"	17.3
"control"	17
"control"	16.4
"control"	15.3
"control"	15.3
"control"	14.6
"control"	15.6
"control"	15.8
"control"	16.7
"control"	16.5
"control"	15.1
"control"	17.2
"control"	15.1
"control"	14.1
"control"	14.5
"control"	15.1
"control"	16.8
"control"	16.2
"control"	14.9
"control"	15.4
"experiment"	16.6
"experiment"	16.2
"experiment"	17
"experiment"	17
"experiment"	15.3
"experiment"	16.3
"experiment"	17
"experiment"	15.4
"experiment"	13.9
"experiment"	16.9
"experiment"	16.2
"experiment"	16.8
"experiment"	17.2
"experiment"	15
"experiment"	18.7
"experiment"	15.4
"experiment"	16.2
"experiment"	16.9
"experiment"	14.4
"experiment"	15.8
"experiment"	14.8
"experiment"	16.7
"experiment"	15
"experiment"	16.1
"experiment"	15.9
