"success"	"type"	"parameters"
1	"algorithm1"	18617
0	"algorithm1"	12864
0	"algorithm1"	18988
0	"algorithm1"	17279
0	"algorithm1"	10639
0	"algorithm1"	10242
1	"algorithm1"	15926
1	"algorithm1"	17001
0	"algorithm1"	10716
0	"algorithm1"	16607
1	"algorithm1"	19852
0	"algorithm1"	16222
1	"algorithm1"	16056
0	"algorithm1"	11690
0	"algorithm1"	12857
0	"algorithm1"	16669
1	"algorithm1"	17786
0	"algorithm1"	15747
1	"algorithm1"	19664
1	"algorithm1"	19550
1	"algorithm1"	19291
0	"algorithm1"	13881
0	"algorithm1"	19445
0	"algorithm1"	12447
0	"algorithm1"	11479
0	"algorithm1"	18989
0	"algorithm1"	12965
1	"algorithm1"	12556
1	"algorithm1"	16170
0	"algorithm1"	14889
1	"algorithm1"	16645
1	"algorithm1"	17052
0	"algorithm1"	11747
0	"algorithm1"	19257
0	"algorithm1"	13559
1	"algorithm1"	14790
0	"algorithm1"	10741
0	"algorithm1"	11835
0	"algorithm1"	19036
1	"algorithm1"	19572
0	"algorithm1"	15196
1	"algorithm1"	17563
0	"algorithm1"	11188
0	"algorithm1"	14680
0	"algorithm1"	18439
0	"algorithm1"	14490
1	"algorithm1"	16255
0	"algorithm1"	14426
1	"algorithm1"	11645
1	"algorithm1"	19228
0	"algorithm1"	10139
0	"algorithm1"	13132
0	"algorithm1"	15686
1	"algorithm1"	19189
0	"algorithm1"	13589
0	"algorithm1"	13240
1	"algorithm1"	16980
1	"algorithm1"	18951
0	"algorithm1"	17851
1	"algorithm1"	17772
0	"algorithm1"	12223
0	"algorithm1"	16987
0	"algorithm1"	14512
1	"algorithm1"	18587
0	"algorithm1"	18415
0	"algorithm1"	12002
0	"algorithm1"	13933
0	"algorithm1"	15054
1	"algorithm1"	13442
1	"algorithm1"	16217
0	"algorithm1"	11801
0	"algorithm1"	12805
0	"algorithm1"	13379
0	"algorithm1"	12079
0	"algorithm1"	13376
0	"algorithm1"	15821
0	"algorithm1"	15984
0	"algorithm1"	17132
0	"algorithm1"	16405
1	"algorithm1"	17780
1	"algorithm1"	17920
0	"algorithm1"	17906
0	"algorithm1"	19836
0	"algorithm1"	13864
1	"algorithm1"	19524
1	"algorithm1"	19741
0	"algorithm1"	12486
0	"algorithm1"	11452
1	"algorithm1"	14722
0	"algorithm1"	10812
0	"algorithm1"	13041
1	"algorithm1"	17487
1	"algorithm1"	19791
1	"algorithm1"	15815
0	"algorithm1"	13754
0	"algorithm1"	11419
1	"algorithm1"	19119
0	"algorithm1"	14634
0	"algorithm1"	11206
0	"algorithm1"	13028
0	"algorithm2"	15006
0	"algorithm2"	16148
0	"algorithm2"	20683
1	"algorithm2"	19847
1	"algorithm2"	16921
1	"algorithm2"	21287
0	"algorithm2"	16102
0	"algorithm2"	19734
1	"algorithm2"	20080
1	"algorithm2"	24627
0	"algorithm2"	17079
1	"algorithm2"	17758
0	"algorithm2"	17779
1	"algorithm2"	20396
1	"algorithm2"	18205
0	"algorithm2"	22531
1	"algorithm2"	20176
1	"algorithm2"	24778
0	"algorithm2"	18563
1	"algorithm2"	19146
1	"algorithm2"	20180
0	"algorithm2"	16938
1	"algorithm2"	21241
0	"algorithm2"	20104
0	"algorithm2"	17625
1	"algorithm2"	20752
0	"algorithm2"	20436
0	"algorithm2"	18017
0	"algorithm2"	15057
1	"algorithm2"	22534
1	"algorithm2"	22650
0	"algorithm2"	16822
1	"algorithm2"	19525
1	"algorithm2"	18675
1	"algorithm2"	18395
1	"algorithm2"	20961
0	"algorithm2"	17028
1	"algorithm2"	18701
0	"algorithm2"	20706
0	"algorithm2"	16839
1	"algorithm2"	19325
0	"algorithm2"	19416
1	"algorithm2"	19741
1	"algorithm2"	16772
1	"algorithm2"	23717
1	"algorithm2"	19169
0	"algorithm2"	21167
0	"algorithm2"	16166
0	"algorithm2"	16896
1	"algorithm2"	15344
0	"algorithm2"	15479
0	"algorithm2"	15047
1	"algorithm2"	22467
1	"algorithm2"	20417
1	"algorithm2"	20847
0	"algorithm2"	17385
0	"algorithm2"	15806
1	"algorithm2"	19213
1	"algorithm2"	24652
1	"algorithm2"	22178
1	"algorithm2"	23751
0	"algorithm2"	23789
1	"algorithm2"	24337
1	"algorithm2"	18202
1	"algorithm2"	21516
1	"algorithm2"	22251
1	"algorithm2"	15572
0	"algorithm2"	16317
1	"algorithm2"	20769
0	"algorithm2"	15015
1	"algorithm2"	24889
1	"algorithm2"	21163
1	"algorithm2"	22533
0	"algorithm2"	16548
1	"algorithm2"	17191
0	"algorithm2"	15568
1	"algorithm2"	17006
1	"algorithm2"	22916
1	"algorithm2"	18567
1	"algorithm2"	16105
1	"algorithm2"	18297
0	"algorithm2"	24600
0	"algorithm2"	23452
1	"algorithm2"	20203
1	"algorithm2"	24885
1	"algorithm2"	20967
1	"algorithm2"	21121
1	"algorithm2"	24468
1	"algorithm2"	23487
0	"algorithm2"	23910
0	"algorithm2"	20384
0	"algorithm2"	16481
1	"algorithm2"	21346
0	"algorithm2"	18593
1	"algorithm2"	18017
1	"algorithm2"	21131
1	"algorithm2"	23883
1	"algorithm2"	20299
0	"algorithm2"	22381
0	"algorithm2"	18549
